"entity_name","review_group_id","entity_id","canonical_name","entity_status","conflicting_contributor_ids","confirmed","is_conflict","link_methods","Contributor.ID","n_contributions","total_amount","max_single_recipient","same_recipient_variant","city","state","zip"
"CENTENE MANAGEMENT COMPANY LLC (KATIE PHILLIPS)","org_rg_1776","d031e75f-9f2a-48da-8a9e-585b1423c3d8",NA,"adding_to_existing",FALSE,FALSE,FALSE,"exact_name_v1 | exact_name_v1 | map1_bridge | name_v4_cross | name_v5_cross",NA,2,78400,21500,FALSE,"Sacramento","CA","95814-3765"
"CENTENE MANAGEMENT COMPANY LLC (RESTRICTED USE ACCOUNT)(JAMES ADAMS)","org_rg_1776","d031e75f-9f2a-48da-8a9e-585b1423c3d8",NA,"adding_to_existing",FALSE,FALSE,FALSE,"exact_name_v4 | name_v4_cross | name_v5_cross",NA,1,10200,21500,TRUE,"Saint Louis","MO","63105"
"CENTENE MANAGEMENT COMPANY LLC(JAMES ADAMS)","org_rg_1776","d031e75f-9f2a-48da-8a9e-585b1423c3d8",NA,"adding_to_existing",FALSE,FALSE,FALSE,"exact_name_v1 | exact_name_v1 | name_v4_cross | name_v5_cross",NA,2,19600,21500,TRUE,"Saint Louis","MO","63105"
"CENTENE MANAGEMENT COMPANY, LLC AND ITS AFFILIATE HEALTH NET","org_rg_1776","d031e75f-9f2a-48da-8a9e-585b1423c3d8","CENTENE MANAGEMENT COMPANY","adding_to_existing",FALSE,TRUE,FALSE,"exact_name_v1 | exact_name_v1 | map1_bridge",NA,13,25300,21500,TRUE,"Saint Louis | St. Louis","MO","63105"
"CENTENE MANAGEMENT, LLC","org_rg_1776","d031e75f-9f2a-48da-8a9e-585b1423c3d8",NA,"adding_to_existing",FALSE,FALSE,FALSE,"name_v5_cross",NA,1,1500,21500,FALSE,"Saint Louis","MO","63105-1807"
"HEALTH NET","org_rg_1776","1eb3e4fc-7494-4357-914f-8de98a9f1bcd",NA,"adding_to_existing",FALSE,FALSE,FALSE,"exact_name_v1 | exact_name_v1 | map1_bridge",NA,3,1900,21500,TRUE,"Glendale | Sacramento","CA","91203 | 95814"
"COAST CENTRAL CREDIT UNION","org_rg_1947","3dd9cc54-471a-435c-994d-e4d879a13570",NA,"new_entity",FALSE,FALSE,FALSE,"exact_name_v1 | exact_name_v1 | name_v4_cross | name_v5_cross",NA,2,19600,40000,TRUE,"Eureka","CA","95501"
"COAST CENTRAL CREDIT UNION (INDEPENDENT EXPENDITURE)","org_rg_1947","3dd9cc54-471a-435c-994d-e4d879a13570",NA,"new_entity",FALSE,FALSE,FALSE,"exact_name_v1 | exact_name_v1 | name_v4_cross | name_v5_cross",NA,2,20400,40000,TRUE,"Eureka","CA","95501"
"COMCAST","org_rg_2007","deaafbda-c611-40d2-9590-30d88ab4760d","COMCAST","adding_to_existing",FALSE,TRUE,FALSE,"exact_name_v1 | exact_name_v1 | map1_bridge",NA,2,15000,40000,TRUE,"Philadelphia","PA","19103-2838"
"COMCAST CABLE COMMUNICATIONS","org_rg_2007","deaafbda-c611-40d2-9590-30d88ab4760d","COMCAST","adding_to_existing",FALSE,TRUE,FALSE,"exact_name_v1 | exact_name_v1 | map1_bridge",NA,2,18900,40000,FALSE,"Livermore","CA","94551"
"COMCAST CORPORATION","org_rg_2007","deaafbda-c611-40d2-9590-30d88ab4760d","COMCAST","adding_to_existing",FALSE,TRUE,FALSE,"map1_bridge | name_v5_cross",NA,1,9800,40000,FALSE,"Philadelphia","PA","19103"
"COMCAST CORPORATION AND AFFILIATED ENTITIES","org_rg_2007","deaafbda-c611-40d2-9590-30d88ab4760d",NA,"adding_to_existing",FALSE,FALSE,FALSE,"exact_name_v1 | exact_name_v1 | name_v5_cross",NA,2,25000,40000,TRUE,"Philadelphia","PA","19103-2838"
"COMCAST CORPORATION AND AFFILIATED ENTITIES INCLUDING NBCUNIVERSAL MEDIA LLC","org_rg_2007","deaafbda-c611-40d2-9590-30d88ab4760d",NA,"adding_to_existing",FALSE,FALSE,FALSE,"exact_name_v1 | name_v4_cross | name_v5_cross","1253132",1,1500,40000,FALSE,"Philadelphia","PA","19103"
"COMCAST CORPORATION AND AFFILIATED ENTITIES INCLUDING NBCUNIVERSAL MEDIA LLC","org_rg_2007","deaafbda-c611-40d2-9590-30d88ab4760d",NA,"adding_to_existing",FALSE,FALSE,FALSE,"exact_name_v1",NA,3,11800,40000,FALSE,"San Francisco","CA","94108"
