"entity_name","review_group_id","original_group_id","entity_id","canonical_name","entity_status","conflicting_contributor_ids","confirmed","is_conflict","link_methods","Contributor.ID","n_contributions","total_amount","max_single_recipient","same_recipient_variant","city","state","zip"
"PLUMBERS AND STEAMFITTERS LOCAL 364 PAC","org_rg_22","org_rg_22","928c6a55-512a-4047-8d0b-78b6899fe5e4",NA,"merge_conflict",TRUE,FALSE,FALSE,"map1_bridge | same_contributor_id","1280902",1,1000,85250,FALSE,"Colton","CA","92324-3236"
"PLUMBERS AND STEAMFITTERS LOCAL NO. 467 STATE PAC SMALL CONTRIBUTOR COMMITTEE","org_rg_22","org_rg_22","f86ea8a0-74a6-4a9e-979a-acc03ce785c2",NA,"merge_conflict",TRUE,FALSE,FALSE,"same_contributor_id","782481",1,1000,85250,FALSE,"Burlingame","CA","94010"
"PLUMBERS AND STEAMFITTERS LOCAL UNION 403 STATE & LOCAL POLITICAL ACTION FUND","org_rg_22","org_rg_22","df4fad01-95d2-441e-9c03-96ed1016449c",NA,"merge_conflict",TRUE,FALSE,FALSE,"map1_bridge","880500",1,2500,85250,TRUE,"San Luis Obispo","CA","93401-7108"
"PLUMBERS LOCAL UNION 78","org_rg_22","org_rg_22","30885502-f8c4-4268-ad90-710bd8010515",NA,"merge_conflict",TRUE,FALSE,FALSE,"map1_bridge | same_contributor_id","981333",1,2500,85250,FALSE,"Los Angeles","CA","90015"
"PLUMBERS, STEAMFITTERS & REFRIGERATION FITTERS LOCAL 393 PAC SMALL CONTRIBUTOR COMMITTEE","org_rg_22","org_rg_22","7b9a6079-8119-4a7b-9818-f201aa2a6f34",NA,"merge_conflict",TRUE,FALSE,FALSE,"map1_bridge | same_contributor_id","851452",1,1500,85250,FALSE,"Sacramento","CA","95814"
"PLUMBING INDUSTRY CONSUMER PROTECTION FUND UNITED ASSOCIATION LOCAL 159","org_rg_22","org_rg_22","4c5e9e02-3526-46e1-9ea5-4ffa6eb3aa06",NA,"merge_conflict",TRUE,FALSE,FALSE,"map1_bridge | same_contributor_id","862085",1,3500,85250,FALSE,"Martinez","CA","94553"
"SPRINKLER FITTERS LOCAL 483 (REPRESENTS UNITEMIZED MEMBER DUES)","org_rg_22","org_rg_22","15de194b-4e4d-4a41-b53c-fc4de86f8022",NA,"merge_conflict",TRUE,FALSE,FALSE,"exact_name_v1 | exact_name_v1 | map1_bridge",NA,5,102002,85250,FALSE,"Hayward","CA","94545"
"STEAMFITTERS LOCAL 342 POLITICAL ACTION COMMITTEE","org_rg_22","org_rg_22","436586f2-6596-4994-a305-1a5a37db0169",NA,"merge_conflict",TRUE,FALSE,TRUE,"same_contributor_id","890268",1,39200,85250,TRUE,"Concord","CA","94518-2501"
"UA JOURNEYMEN & APPRENTICES LOCAL 250 PAC","org_rg_22","org_rg_22","cbcbd425-5659-49ea-a74a-7c2686d1205a",NA,"merge_conflict",TRUE,FALSE,FALSE,"map1_bridge | same_contributor_id | same_contributor_id","743959",2,19600,85250,FALSE,"Gardena","CA","90248"
"UA LOCAL 246 PLUMBERS & PIPEFITTERS COPE COMMITTEE","org_rg_22","org_rg_22","7689ad38-1ee7-40e7-9a29-c8f193c45673",NA,"merge_conflict",TRUE,FALSE,FALSE,"same_contributor_id","870601",1,2000,85250,FALSE,"Fresno","CA","93727"
